condition,t_day,species,phi
CS,6.3500000000000005,F. nucleatum,0.005011476555447528
CS,6.3500000000000005,P. gingivalis_20709,0.004961375631215349
CS,6.4,S. oralis,0.7586812958177303
CS,6.4,A. naeslundii,0.036394462207129566
CS,6.4,V. dispar,0.1949321299231036
CS,6.4,F. nucleatum,0.005019131985550984
CS,6.4,P. gingivalis_20709,0.004972980066485495
CS,6.45,S. oralis,0.7580759674210706
CS,6.45,A. naeslundii,0.037127231189189334
CS,6.45,V. dispar,0.19478537581463184
CS,6.45,F. nucleatum,0.005026805834860663
CS,6.45,P. gingivalis_20709,0.004984619740247411
CS,6.5,S. oralis,0.7574419025160845
CS,6.5,A. naeslundii,0.03787396441915163
CS,6.5,V. dispar,0.19465335334113504
CS,6.5,F. nucleatum,0.005034491480667828
CS,6.5,P. gingivalis_20709,0.004996288242961256
CS,6.550000000000001,S. oralis,0.7567791996062131
CS,6.550000000000001,A. naeslundii,0.038634841875644824
CS,6.550000000000001,V. dispar,0.1945357970070538
