cond,day,file,fov,z_idx,z_frac,S.o,A.n,Vd/Vp,F.n,P.g
DH,10,241018_HOBIC24_5Spezies_FISH,15,12,0.32432432432432434,0.2064385861158371,0.2471327930688858,0.28965386748313904,0.08536596596240997,0.17140869796276093
DH,10,241018_HOBIC24_5Spezies_FISH,15,13,0.35135135135135137,0.20655210316181183,0.2472502738237381,0.29252132773399353,0.08774949610233307,0.1659267395734787
DH,10,241018_HOBIC24_5Spezies_FISH,15,14,0.3783783783783784,0.2068072259426117,0.24897469580173492,0.292866587638855,0.08956814557313919,0.16178341209888458
DH,10,241018_HOBIC24_5Spezies_FISH,15,15,0.40540540540540543,0.20783434808254242,0.2500847280025482,0.2943233251571655,0.09159857779741287,0.15615902841091156
DH,10,241018_HOBIC24_5Spezies_FISH,15,16,0.43243243243243246,0.20845365524291992,0.25101882219314575,0.29639098048210144,0.09265989810228348,0.15147672593593597
DH,10,241018_HOBIC24_5Spezies_FISH,15,17,0.4594594594594595,0.20990943908691406,0.24948886036872864,0.2969208359718323,0.09398183971643448,0.14969898760318756
DH,10,241018_HOBIC24_5Spezies_FISH,15,18,0.4864864864864865,0.21179257333278656,0.2479250133037567,0.29444846510887146,0.09603238105773926,0.1498015820980072
DH,10,241018_HOBIC24_5Spezies_FISH,15,19,0.5135135135135135,0.21086552739143372,0.24953106045722961,0.2890133559703827,0.09751860797405243,0.15307147800922394
DH,10,241018_HOBIC24_5Spezies_FISH,15,20,0.5405405405405406,0.21139319241046906,0.25139209628105164,0.28127604722976685,0.09861905872821808,0.15731965005397797
DH,10,241018_HOBIC24_5Spezies_FISH,15,21,0.5675675675675675,0.20855236053466797,0.24879784882068634,0.276528537273407,0.09937147796154022,0.1667497754096985
DH,10,241018_HOBIC24_5Spezies_FISH,15,22,0.5945945945945946,0.20651642978191376,0.24696223437786102,0.2691778838634491,0.1000690758228302,0.17727436125278473
DH,10,241018_HOBIC24_5Spezies_FISH,15,23,0.6216216216216216,0.20788200199604034,0.24247615039348602,0.26354411244392395,0.10073449462652206,0.18536323308944702
DH,10,241018_HOBIC24_5Spezies_FISH,15,24,0.6486486486486487,0.20331496000289917,0.24104930460453033,0.25941434502601624,0.10107875615358353,0.19514261186122894
DH,10,241018_HOBIC24_5Spezies_FISH,15,25,0.6756756756756757,0.20204035937786102,0.2410363405942917,0.2533574402332306,0.10247773677110672,0.20108817517757416
DH,10,241018_HOBIC24_5Spezies_FISH,15,26,0.7027027027027027,0.20335029065608978,0.24108225107192993,0.24995552003383636,0.10279867053031921,0.2028132677078247
DH,10,241018_HOBIC24_5Spezies_FISH,15,27,0.7297297297297297,0.19917599856853485,0.23883271217346191,0.24922394752502441,0.10311314463615417,0.20965419709682465
DH,10,241018_HOBIC24_5Spezies_FISH,15,28,0.7567567567567568,0.19894173741340637,0.238031268119812,0.24595703184604645,0.10433154553174973,0.21273840963840485
DH,10,241018_HOBIC24_5Spezies_FISH,15,29,0.7837837837837838,0.19832977652549744,0.23802444338798523,0.2401907593011856,0.1052590161561966,0.21819597482681274
DH,10,241018_HOBIC24_5Spezies_FISH,15,30,0.8108108108108109,0.19636982679367065,0.23945792019367218,0.2325180172920227,0.10597112774848938,0.2256830930709839
DH,10,241018_HOBIC24_5Spezies_FISH,15,31,0.8378378378378378,0.1944875419139862,0.23673777282238007,0.22815777361392975,0.10674712806940079,0.23386980593204498
DH,10,241018_HOBIC24_5Spezies_FISH,15,32,0.8648648648648649,0.18942755460739136,0.2353033572435379,0.22283528745174408,0.10714013874530792,0.24529367685317993
DH,10,241018_HOBIC24_5Spezies_FISH,15,33,0.8918918918918919,0.18727514147758484,0.23345747590065002,0.21602696180343628,0.1074802577495575,0.25576022267341614
DH,10,241018_HOBIC24_5Spezies_FISH,15,34,0.918918918918919,0.1841672658920288,0.23081693053245544,0.21195955574512482,0.10777520388364792,0.2652810215950012
DH,10,241018_HOBIC24_5Spezies_FISH,15,35,0.9459459459459459,0.18142254650592804,0.22729532420635223,0.2073633372783661,0.10818130522966385,0.275737464427948
DH,10,241018_HOBIC24_5Spezies_FISH,15,36,0.972972972972973,0.17881962656974792,0.22512513399124146,0.20268937945365906,0.10804138332605362,0.2853245139122009
DH,10,241018_HOBIC24_5Spezies_FISH,15,37,1.0,0.17867907881736755,0.22275996208190918,0.2029600441455841,0.1084420457482338,0.28715890645980835
DH,10,241018_HOBIC24_5Spezies_FISH,16,0,0.0,0.2822340130805969,0.18515512347221375,0.2364259660243988,0.07070259749889374,0.22548231482505798
DH,10,241018_HOBIC24_5Spezies_FISH,16,1,0.027777777777777776,0.2747829258441925,0.19068516790866852,0.24180909991264343,0.07111848145723343,0.2216043621301651
DH,10,241018_HOBIC24_5Spezies_FISH,16,2,0.05555555555555555,0.26774078607559204,0.19377906620502472,0.25068262219429016,0.07272223383188248,0.2150753289461136
DH,10,241018_HOBIC24_5Spezies_FISH,16,3,0.08333333333333333,0.261590838432312,0.19895879924297333,0.2576516270637512,0.07429859042167664,0.207500159740448
DH,10,241018_HOBIC24_5Spezies_FISH,16,4,0.1111111111111111,0.2524009644985199,0.20619215071201324,0.2669537365436554,0.07541473954916,0.19903843104839325
DH,10,241018_HOBIC24_5Spezies_FISH,16,5,0.1388888888888889,0.24683164060115814,0.21268567442893982,0.27328383922576904,0.07703041285276413,0.19016842544078827
DH,10,241018_HOBIC24_5Spezies_FISH,16,6,0.16666666666666666,0.24581903219223022,0.21726205945014954,0.2767205536365509,0.07828237116336823,0.18191589415073395
DH,10,241018_HOBIC24_5Spezies_FISH,16,7,0.19444444444444445,0.23947370052337646,0.22509533166885376,0.2805494964122772,0.07924935966730118,0.17563211917877197
DH,10,241018_HOBIC24_5Spezies_FISH,16,8,0.2222222222222222,0.2374005764722824,0.22857235372066498,0.28331971168518066,0.08031443506479263,0.1703929603099823
DH,10,241018_HOBIC24_5Spezies_FISH,16,9,0.25,0.23506474494934082,0.2314075082540512,0.2862709164619446,0.08081639558076859,0.1664404571056366
DH,10,241018_HOBIC24_5Spezies_FISH,16,10,0.2777777777777778,0.2319159209728241,0.23517823219299316,0.2864631116390228,0.08108793199062347,0.16535480320453644
DH,10,241018_HOBIC24_5Spezies_FISH,16,11,0.3055555555555556,0.22938743233680725,0.2353915572166443,0.2873920798301697,0.08218271285295486,0.16564619541168213
DH,10,241018_HOBIC24_5Spezies_FISH,16,12,0.3333333333333333,0.22781626880168915,0.2355383187532425,0.2879469096660614,0.08296415954828262,0.1657344102859497
DH,10,241018_HOBIC24_5Spezies_FISH,16,13,0.3611111111111111,0.22431308031082153,0.23669534921646118,0.2893540561199188,0.08336637914180756,0.1662711501121521
DH,10,241018_HOBIC24_5Spezies_FISH,16,14,0.3888888888888889,0.22029587626457214,0.2373022884130478,0.2918664216995239,0.08394474536180496,0.1665906310081482
DH,10,241018_HOBIC24_5Spezies_FISH,16,15,0.4166666666666667,0.2182844579219818,0.23768740892410278,0.29359179735183716,0.08515848964452744,0.16527783870697021
DH,10,241018_HOBIC24_5Spezies_FISH,16,16,0.4444444444444444,0.2153116911649704,0.2407592535018921,0.29544833302497864,0.08600069582462311,0.16247999668121338
DH,10,241018_HOBIC24_5Spezies_FISH,16,17,0.4722222222222222,0.2133248746395111,0.24273665249347687,0.29622623324394226,0.08703995496034622,0.16067226231098175
DH,10,241018_HOBIC24_5Spezies_FISH,16,18,0.5,0.2125602662563324,0.24429206550121307,0.2953251302242279,0.08914945274591446,0.15867309272289276
DH,10,241018_HOBIC24_5Spezies_FISH,16,19,0.5277777777777778,0.21158583462238312,0.24869541823863983,0.29201769828796387,0.09023547917604446,0.15746554732322693
DH,10,241018_HOBIC24_5Spezies_FISH,16,20,0.5555555555555556,0.2108595222234726,0.25198787450790405,0.2881860136985779,0.09134307503700256,0.1576234996318817
DH,10,241018_HOBIC24_5Spezies_FISH,16,21,0.5833333333333334,0.20835061371326447,0.2575560212135315,0.2854951322078705,0.09286396205425262,0.15573431551456451
DH,10,241018_HOBIC24_5Spezies_FISH,16,22,0.6111111111111112,0.20641623437404633,0.26074114441871643,0.27830666303634644,0.09600478410720825,0.15853114426136017
DH,10,241018_HOBIC24_5Spezies_FISH,16,23,0.6388888888888888,0.20440924167633057,0.2642969787120819,0.27384623885154724,0.09730063378810883,0.16014687716960907
DH,10,241018_HOBIC24_5Spezies_FISH,16,24,0.6666666666666666,0.2029227465391159,0.26432153582572937,0.2714947462081909,0.098364919424057,0.16289609670639038
DH,10,241018_HOBIC24_5Spezies_FISH,16,25,0.6944444444444444,0.20063956081867218,0.2657996118068695,0.26420655846595764,0.10066509246826172,0.16868920624256134
DH,10,241018_HOBIC24_5Spezies_FISH,16,26,0.7222222222222222,0.20043258368968964,0.2655142545700073,0.2524382770061493,0.10361484438180923,0.1780000925064087
DH,10,241018_HOBIC24_5Spezies_FISH,16,27,0.75,0.19813214242458344,0.2625531852245331,0.24111230671405792,0.10685650259256363,0.19134587049484253
DH,10,241018_HOBIC24_5Spezies_FISH,16,28,0.7777777777777778,0.19318237900733948,0.26126644015312195,0.23313091695308685,0.10814498364925385,0.20427529513835907
DH,10,241018_HOBIC24_5Spezies_FISH,16,29,0.8055555555555556,0.19017773866653442,0.2572546601295471,0.22496871650218964,0.10990653932094574,0.21769225597381592
DH,10,241018_HOBIC24_5Spezies_FISH,16,30,0.8333333333333334,0.18647229671478271,0.25130441784858704,0.22029991447925568,0.11187819391489029,0.23004518449306488
DH,10,241018_HOBIC24_5Spezies_FISH,16,31,0.8611111111111112,0.1850462704896927,0.2448299676179886,0.2136097103357315,0.11231118440628052,0.2442028820514679
DH,10,241018_HOBIC24_5Spezies_FISH,16,32,0.8888888888888888,0.1827394664287567,0.23470517992973328,0.2083246409893036,0.11261051148176193,0.26162025332450867
DH,10,241018_HOBIC24_5Spezies_FISH,16,33,0.9166666666666666,0.1818726807832718,0.2232520878314972,0.20351898670196533,0.1122526079416275,0.2791036367416382
DH,10,241018_HOBIC24_5Spezies_FISH,16,34,0.9444444444444444,0.18144255876541138,0.21861369907855988,0.1999780386686325,0.11092829704284668,0.28903743624687195
DH,10,241018_HOBIC24_5Spezies_FISH,16,35,0.9722222222222222,0.18060661852359772,0.21478469669818878,0.19906985759735107,0.11037622392177582,0.2951626181602478
DH,10,241018_HOBIC24_5Spezies_FISH,16,36,1.0,0.17938946187496185,0.21174652874469757,0.19814017415046692,0.11068334430456161,0.30004045367240906
DH,15,241018_HOBIC24_5Spezies_FISH,1,0,0.0,0.07483745366334915,0.14851757884025574,0.24917563796043396,0.12082423269748688,0.4066450893878937
DH,15,241018_HOBIC24_5Spezies_FISH,1,1,0.045454545454545456,0.0731867253780365,0.15150876343250275,0.25470227003097534,0.12199793010950089,0.39860427379608154
DH,15,241018_HOBIC24_5Spezies_FISH,1,2,0.09090909090909091,0.07217196375131607,0.16116972267627716,0.259196937084198,0.1227724701166153,0.3846889138221741
DH,15,241018_HOBIC24_5Spezies_FISH,1,3,0.13636363636363635,0.07100881636142731,0.16910505294799805,0.26337841153144836,0.12417151033878326,0.3723362386226654
DH,15,241018_HOBIC24_5Spezies_FISH,1,4,0.18181818181818182,0.07035074383020401,0.17971166968345642,0.26896604895591736,0.1270870417356491,0.3538844585418701
DH,15,241018_HOBIC24_5Spezies_FISH,1,5,0.22727272727272727,0.07110534608364105,0.19141851365566254,0.2761462330818176,0.13005368411540985,0.33127614855766296
DH,15,241018_HOBIC24_5Spezies_FISH,1,6,0.2727272727272727,0.07286138087511063,0.2027159482240677,0.28290149569511414,0.1325295865535736,0.3089916408061981
DH,15,241018_HOBIC24_5Spezies_FISH,1,7,0.3181818181818182,0.07505503296852112,0.21355611085891724,0.28954246640205383,0.1350998729467392,0.2867465615272522
DH,15,241018_HOBIC24_5Spezies_FISH,1,8,0.36363636363636365,0.07716064900159836,0.22133557498455048,0.29588809609413147,0.14105291664600372,0.26456278562545776
DH,15,241018_HOBIC24_5Spezies_FISH,1,9,0.4090909090909091,0.08131005614995956,0.23261336982250214,0.3040497899055481,0.1461247354745865,0.2359020859003067
DH,15,241018_HOBIC24_5Spezies_FISH,1,10,0.45454545454545453,0.08919508010149002,0.24406109750270844,0.31129974126815796,0.15083952248096466,0.2046046108007431
DH,15,241018_HOBIC24_5Spezies_FISH,1,11,0.5,0.09338432550430298,0.2541560232639313,0.3163211941719055,0.15511879324913025,0.1810196489095688
DH,15,241018_HOBIC24_5Spezies_FISH,1,12,0.5454545454545454,0.10106592625379562,0.2657147943973541,0.31593191623687744,0.15958064794540405,0.15770673751831055
DH,15,241018_HOBIC24_5Spezies_FISH,1,13,0.5909090909090909,0.11187120527029037,0.27696239948272705,0.3128148913383484,0.1634499728679657,0.13490146398544312
DH,15,241018_HOBIC24_5Spezies_FISH,1,14,0.6363636363636364,0.12505756318569183,0.2883774936199188,0.30142396688461304,0.16655100882053375,0.11858994513750076
DH,15,241018_HOBIC24_5Spezies_FISH,1,15,0.6818181818181818,0.13930799067020416,0.29591506719589233,0.2886179983615875,0.16845178604125977,0.10770716518163681
DH,15,241018_HOBIC24_5Spezies_FISH,1,16,0.7272727272727273,0.15010131895542145,0.3001890182495117,0.26620495319366455,0.17386940121650696,0.10963531583547592
DH,15,241018_HOBIC24_5Spezies_FISH,1,17,0.7727272727272727,0.14818036556243896,0.28545957803726196,0.24736112356185913,0.1833038330078125,0.13569505512714386
DH,15,241018_HOBIC24_5Spezies_FISH,1,18,0.8181818181818182,0.14063002169132233,0.26105862855911255,0.23835262656211853,0.1882668137550354,0.17169198393821716
DH,15,241018_HOBIC24_5Spezies_FISH,1,19,0.8636363636363636,0.13370300829410553,0.23299001157283783,0.23277106881141663,0.1917574405670166,0.20877854526042938
DH,15,241018_HOBIC24_5Spezies_FISH,1,20,0.9090909090909091,0.1278509497642517,0.21153216063976288,0.2291913777589798,0.19258542358875275,0.23884008824825287
DH,15,241018_HOBIC24_5Spezies_FISH,1,21,0.9545454545454546,0.12513333559036255,0.20188570022583008,0.22669509053230286,0.19145523011684418,0.25483065843582153
DH,15,241018_HOBIC24_5Spezies_FISH,1,22,1.0,0.12341011315584183,0.19618137180805206,0.22515319287776947,0.19187815487384796,0.2633771300315857
DH,15,241018_HOBIC24_5Spezies_FISH,17,0,0.0,0.29073604941368103,0.23061487078666687,0.24620723724365234,0.06641550362110138,0.16602633893489838
DH,15,241018_HOBIC24_5Spezies_FISH,17,1,0.034482758620689655,0.28146663308143616,0.23614393174648285,0.2514967918395996,0.0673874095082283,0.1635051816701889
DH,15,241018_HOBIC24_5Spezies_FISH,17,2,0.06896551724137931,0.2703149914741516,0.23967045545578003,0.25835198163986206,0.06896306574344635,0.16269952058792114
DH,15,241018_HOBIC24_5Spezies_FISH,17,3,0.10344827586206896,0.25734567642211914,0.24978595972061157,0.2629670202732086,0.07069915533065796,0.1592021882534027
DH,15,241018_HOBIC24_5Spezies_FISH,17,4,0.13793103448275862,0.244711235165596,0.2575242519378662,0.2693159878253937,0.07196255773305893,0.15648600459098816
DH,15,241018_HOBIC24_5Spezies_FISH,17,5,0.1724137931034483,0.23376041650772095,0.2657611668109894,0.2740989029407501,0.07451444119215012,0.15186503529548645
DH,15,241018_HOBIC24_5Spezies_FISH,17,6,0.20689655172413793,0.22254124283790588,0.2737398147583008,0.2772970199584961,0.07766840606927872,0.14875353872776031
DH,15,241018_HOBIC24_5Spezies_FISH,17,7,0.2413793103448276,0.21265514194965363,0.27913039922714233,0.2829557955265045,0.08059152215719223,0.14466707408428192
DH,15,241018_HOBIC24_5Spezies_FISH,17,8,0.27586206896551724,0.20690017938613892,0.2845992147922516,0.2837648093700409,0.08326628804206848,0.1414695382118225
DH,15,241018_HOBIC24_5Spezies_FISH,17,9,0.3103448275862069,0.2025444358587265,0.2886670231819153,0.2844460606575012,0.08561217784881592,0.13873028755187988
DH,15,241018_HOBIC24_5Spezies_FISH,17,10,0.3448275862068966,0.19851669669151306,0.2907451391220093,0.28587833046913147,0.0888165682554245,0.1360432207584381
DH,15,241018_HOBIC24_5Spezies_FISH,17,11,0.3793103448275862,0.19566605985164642,0.29166486859321594,0.2862338125705719,0.0922422707080841,0.13419297337532043
DH,15,241018_HOBIC24_5Spezies_FISH,17,12,0.41379310344827586,0.1939135640859604,0.2931820750236511,0.28479310870170593,0.09538339823484421,0.13272780179977417
DH,15,241018_HOBIC24_5Spezies_FISH,17,13,0.4482758620689655,0.19038435816764832,0.2948429584503174,0.2826874256134033,0.10018205642700195,0.1319032609462738
DH,15,241018_HOBIC24_5Spezies_FISH,17,14,0.4827586206896552,0.1880853921175003,0.29695579409599304,0.2790863513946533,0.10497264564037323,0.1308998465538025
DH,15,241018_HOBIC24_5Spezies_FISH,17,15,0.5172413793103449,0.18366548418998718,0.2942252457141876,0.273095041513443,0.11113312840461731,0.1378810852766037
DH,15,241018_HOBIC24_5Spezies_FISH,17,16,0.5517241379310345,0.17871128022670746,0.28720319271087646,0.264603853225708,0.11704713851213455,0.1524345427751541
