cond,day,file,fov,latCV_S.o,biomass_S.o,latCV_A.n,biomass_A.n,latCV_Vd/Vp,biomass_Vd/Vp,latCV_F.n,biomass_F.n,latCV_P.g,biomass_P.g,FnPg_patch_M1,FnPg_3d_M1
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,1,0.6361782550811768,325881.15625,0.6873985528945923,289760.4375,2.0186336040496826,179537.046875,0.8878213167190552,124109.703125,1.656821608543396,118185.4453125,0.943159818649292,0.5705471634864807
CH,15,220817_HOBIC22_5Spezies_FISH_Tag15,2,0.35280248522758484,652650.6875,0.49181461334228516,665492.5625,0.4875353276729584,608130.0,0.46252942085266113,331654.75,0.48179373145103455,489102.34375,0.9993011951446533,0.3209927976131439
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,2,0.5384971499443054,448439.90625,0.6365873217582703,366287.5,1.6769311428070068,237540.515625,0.8849743604660034,169870.3125,1.215702772140503,129199.2578125,0.9357004165649414,0.672572910785675
CH,15,220817_HOBIC22_5Spezies_FISH_Tag15,3,0.2833405137062073,1061405.5,0.43917301297187805,928253.625,0.41435325145721436,961549.4375,0.4053507447242737,453821.3125,0.4055462181568146,659444.4375,0.9999980926513672,0.3370199501514435
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,3,0.355945885181427,758918.125,0.4176618158817291,636385.25,0.6584717035293579,586746.8125,0.49817976355552673,306783.78125,0.922238290309906,201983.90625,0.9989628195762634,0.7843263149261475
CH,15,220817_HOBIC22_5Spezies_FISH_Tag15,4,0.4536125063896179,362293.53125,0.35814207792282104,505671.46875,0.3766379654407501,518794.46875,0.37114307284355164,297793.625,0.5442570447921753,287427.21875,0.9999837875366211,0.47575539350509644
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,4,0.4842023253440857,692803.0625,0.5644727945327759,558689.3125,0.7867794036865234,478766.21875,0.5846942067146301,266969.4375,1.0654737949371338,180865.5,0.9910832643508911,0.7777906656265259
CH,15,220817_HOBIC22_5Spezies_FISH_Tag15,5,0.564811646938324,363741.53125,0.3611887991428375,559520.4375,0.41064444184303284,567498.4375,0.38159456849098206,287559.65625,0.5237271189689636,330386.96875,0.999991238117218,0.43770769238471985
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,5,0.5814129710197449,280065.1875,0.7165480256080627,254877.875,1.1734428405761719,200302.6875,0.8600035905838013,107390.6171875,0.8221874833106995,160373.796875,0.9108185768127441,0.3483743965625763
CH,15,220817_HOBIC22_5Spezies_FISH_Tag15,6,0.3272497057914734,593580.9375,0.41473788022994995,549146.375,0.41560858488082886,563158.8125,0.44588351249694824,310704.03125,0.5230660438537598,321279.1875,0.9998989701271057,0.3715258836746216
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,6,0.6735206246376038,258069.375,0.7036325335502625,240503.578125,1.5239121913909912,176188.875,1.078754186630249,68027.3515625,1.2066576480865479,118042.9140625,0.7783260941505432,0.30667221546173096
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,7,0.5747269988059998,298539.03125,0.6520079970359802,262135.421875,1.3287484645843506,206232.203125,0.9394068121910095,78665.5859375,1.048604130744934,126314.125,0.8460803031921387,0.3540916442871094
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,8,0.5207070708274841,397235.46875,0.6326011419296265,326039.34375,0.9680889248847961,285281.625,0.8622967600822449,102686.265625,0.9519277215003967,160546.796875,0.9233731031417847,0.3652103543281555
CH,21,220817_HOBIC22_5Spezies_FISH_Tag21,0,0.5244630575180054,249372.953125,0.34741172194480896,378982.1875,0.5039804577827454,257991.03125,0.38459742069244385,225692.90625,0.5991906523704529,173232.609375,0.999970555305481,0.5981695652008057
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,0,0.7612031102180481,304444.9375,0.6406394243240356,317502.1875,1.029348611831665,317259.75,0.6101948022842407,153853.328125,0.6501424312591553,290982.0625,0.9979260563850403,0.2762688994407654
CH,21,220817_HOBIC22_5Spezies_FISH_Tag21,1,0.27422210574150085,940125.6875,0.3409344255924225,940028.3125,0.43797269463539124,688981.5625,0.4185117185115814,359045.28125,0.38246357440948486,696264.125,0.9999867677688599,0.1854320615530014
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,1,0.6173097491264343,372449.46875,0.5747789144515991,375870.0,1.8477931022644043,217630.375,0.5349394083023071,177961.03125,0.5909785032272339,319320.4375,0.9997793436050415,0.25936785340309143
CH,21,220817_HOBIC22_5Spezies_FISH_Tag21,2,0.3034292161464691,868830.5,0.5189821124076843,781864.5,0.6062399744987488,612926.25,0.6000492572784424,279091.34375,0.5153012275695801,601186.375,0.9946230053901672,0.1508721113204956
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,2,0.7023829221725464,323599.21875,0.5077089071273804,437347.875,1.472228765487671,232546.65625,0.5732212066650391,197502.5,0.5603457093238831,337027.90625,0.9989356398582458,0.31847429275512695
CH,21,220817_HOBIC22_5Spezies_FISH_Tag21,3,0.3936396837234497,470921.46875,0.3990500271320343,543264.9375,0.4203477203845978,506736.5,0.45265451073646545,244994.1875,0.477944940328598,395461.59375,0.9999537467956543,0.2784261703491211
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,3,0.6868454217910767,313921.6875,0.5882444977760315,358672.65625,2.1949310302734375,160308.34375,0.6016435623168945,161970.5,0.6149599552154541,309050.875,0.9949460625648499,0.25641125440597534
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,4,0.8594295978546143,313130.125,0.544443666934967,387333.875,2.0511856079101562,172808.03125,0.6000312566757202,156331.109375,0.6325279474258423,313140.03125,0.9860896468162537,0.30556827783584595
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,5,0.7185057997703552,298158.46875,0.6769884824752808,300936.96875,2.5015618801116943,147113.78125,0.6791654229164124,133028.65625,0.7014039158821106,259895.03125,0.9867922067642212,0.25105807185173035
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,6,0.6379185914993286,277480.84375,0.5326796770095825,341382.5,1.2999107837677002,193894.625,0.5694087743759155,154265.328125,0.7263177633285522,207175.953125,0.9962160587310791,0.3859114348888397
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,7,0.6166889667510986,275615.25,0.5639105439186096,304829.21875,1.3914096355438232,172456.4375,0.6736646294593811,124736.2109375,0.9035192728042603,157457.8125,0.9532478451728821,0.35041382908821106
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,8,0.6538904905319214,306383.71875,0.6061549186706543,338278.875,1.6742210388183594,190436.109375,0.5914995074272156,162804.28125,0.6606539487838745,272434.34375,0.9943680167198181,0.29126790165901184
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,9,0.5131033658981323,408996.03125,0.7446878552436829,291574.8125,3.2334654331207275,130148.9140625,0.7990406155586243,106487.59375,0.8661954998970032,201375.125,0.9871301054954529,0.6539035439491272
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,10,0.8617466688156128,186869.609375,0.7629978656768799,195084.375,3.302410840988159,66540.5625,0.8850479125976562,63890.875,0.9836367964744568,129833.140625,0.9181786179542542,0.768440306186676
CH,21,240416_HOBIC22_5Spezies_FISH_Tag21,11,0.6335329413414001,298397.90625,0.6983415484428406,254988.03125,2.8289101123809814,114209.75,0.6731990575790405,107950.5,0.7573056221008301,190297.15625,0.9948980212211609,0.8926454782485962
DH,1,241203_HOBIC24_5Spezies_FISH_Tag1,0,0.5363914966583252,324900.65625,0.3918030261993408,308498.84375,1.2881418466567993,209269.515625,0.6407044529914856,134172.53125,1.0716580152511597,94200.4375,0.9793204665184021,0.8718764781951904
DH,1,241203_HOBIC24_5Spezies_FISH_Tag1,1,0.5938239097595215,272118.84375,0.5101816058158875,283814.0,1.1908752918243408,172261.484375,0.700727641582489,130636.96875,2.2446768283843994,55312.375,0.9838225245475769,0.9301823377609253
